species,reason
Pipa pipa,BirdNET false-positive — Amazonian aquatic toad, not Andean cloud forest (Franz expert review 2026-06-10)
Sachatamia orejuela,BirdNET false-positive — discarded on expert review (Franz 2026-06-10)
Teratohyla pulveratum,BirdNET false-positive — lowland glassfrog, discarded on expert review (Franz 2026-06-10)
